,0
1370,0.3125
1371,0.3125
1372,0.15625
1373,0.15625
1374,0.15625
1375,0.46875
1376,0.15625
1377,0.15625
1378,0.15625
1379,0.15625
1380,0.15625
1381,0.15625
1382,0.15625
1383,0.15625
1384,0.625
1385,0.625
1386,0.9375
1387,0.9375
1388,0.46875
1389,0.46875
1390,0.78125
1391,0.78125
1392,0.78125
1393,0.78125
1394,0.78125
1395,0.78125
1396,0.625
1397,0.625
1398,0.625
1399,0.625
1400,0.625
1401,0.625
1402,0.625
1403,0.625
1404,0.625
1405,0.625
1406,0.625
1407,0.625
1408,0.625
1409,0.46875
1410,0.625
1411,0.46875
1412,0.46875
1413,0.46875
1414,0.46875
1415,0.15625
1416,0.15625
1417,0.15625
1418,0.46875
1419,0.3125
1420,0.3125
1421,0.625
1422,0.625
1423,0.625
1424,0.15625
1425,0.3125
1426,0.3125
1427,0.3125
1428,0.3125
1429,0.625
1430,0.625
1431,0.625
1432,0.625
1433,0.625
1434,0.625
1435,0.78125
1436,0.78125
1437,0.78125
1438,0.3125
1439,0.15625
1440,0.15625
1441,0.15625
1442,0.15625
1443,0.15625
1444,0.15625
1445,0.15625
1446,0.15625
1447,0.15625
1448,0.15625
1449,0.15625
1450,0.15625
1451,0.15625
1452,0.15625
1453,0.15625
1454,0.15625
1455,0.3125
1456,0.15625
1457,0.3125
1458,0.3125
1459,0.3125
1460,0.3125
1461,0.3125
1462,0.3125
1463,0.3125
1464,0.3125
1465,0.3125
1466,0.3125
1467,0.46875
1468,0.15625
1469,0.46875
1470,0.15625
1471,0.15625
1472,0.15625
1473,0.15625
1474,0.15625
1475,0.15625
1476,0.15625
1477,0.15625
1478,0.15625
1479,0.3125
1480,0.3125
1481,0.3125
1482,0.3125
1483,0.3125
1484,0.3125
1485,0.3125
1486,0.15625
1487,0.15625
1488,0.15625
1489,0.15625
1490,0.15625
1491,0.15625
1492,0.46875
1493,0.46875
1494,0.46875
1495,0.46875
1496,0.46875
1497,0.46875
1498,0.46875
1499,0.46875
1500,0.46875
1501,0.46875
